metric,pattern,density,rest_JT_z,rest_JT_p,rest_trend,graphql_JT_z,graphql_JT_p,graphql_trend,gap_delta_1,gap_delta_10,gap_delta_50,gap_delta_100
lat_p95,aggregate,high,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
lat_p95,aggregate,low,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
lat_p95,aggregate,medium,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
lat_p95,baseline,high,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
lat_p95,baseline,low,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
lat_p95,baseline,medium,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
lat_p95,filtered,high,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
lat_p95,filtered,low,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
lat_p95,filtered,medium,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
lat_p95,partial,high,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
lat_p95,partial,low,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
lat_p95,partial,medium,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
throughput_rps,aggregate,high,-6.463716110922282,1.0216245599140714e-10,decreasing,-1.0319430656044282,0.30209878980577176,decreasing,1.0,1.0,1.0,1.0
throughput_rps,aggregate,low,0.9099861578511775,0.36282980984781454,increasing,-1.3227633840929487,0.1859140774920176,decreasing,1.0,1.0,1.0,1.0
throughput_rps,aggregate,medium,-1.3415259852857566,0.17974973876201206,decreasing,-0.9662739614296009,0.33390711187153277,decreasing,1.0,1.0,1.0,1.0
throughput_rps,baseline,high,0.21107926341908756,0.8328254210823566,increasing,-1.9372385731574036,0.05271618712248389,decreasing,1.0,1.0,1.0,1.0
throughput_rps,baseline,low,-0.5534967351878296,0.5799233155644059,decreasing,0.3189642202777323,0.7497536448179961,increasing,1.0,1.0,1.0,1.0
throughput_rps,baseline,medium,0.4643743795219926,0.6423795427224905,increasing,-1.4869361445300169,0.13703167684760484,decreasing,1.0,1.0,1.0,1.0
throughput_rps,filtered,high,-2.1530084868746933,0.03131801155008356,decreasing,-4.235657219276357,2.2788419023754367e-05,decreasing,1.0,1.0,1.0,1.0
throughput_rps,filtered,low,-0.35179877236514595,0.7249891792969088,decreasing,-1.8246629660005569,0.06805190514641506,decreasing,1.0,1.0,1.0,1.0
throughput_rps,filtered,medium,-1.0131804644116202,0.3109739698801809,decreasing,-4.02457795585727,5.707758491017538e-05,decreasing,1.0,1.0,1.0,1.0
throughput_rps,partial,high,-9.597070510121181,8.2248850704677085e-22,decreasing,-2.9222751357798122,0.0034748443247011474,decreasing,1.0,1.0,1.0,1.0
throughput_rps,partial,low,-2.598620265203878,0.009359925135959003,decreasing,0.009381300596403892,0.9925149148862672,increasing,1.0,1.0,1.0,1.0
throughput_rps,partial,medium,-7.7864794950152305,6.890209661218464e-15,decreasing,-2.6220735166948876,0.00873965761917756,decreasing,1.0,1.0,1.0,1.0
payload_bytes_med,aggregate,high,0.0,1.0,none,0.0,1.0,none,-1.0,-1.0,-1.0,-1.0
payload_bytes_med,aggregate,low,0.9850365626224087,0.32460611172618203,increasing,-1.0483603416481349,0.29447261806507075,decreasing,-1.0,-1.0,-1.0,-1.0
payload_bytes_med,aggregate,medium,-0.42919450228547806,0.6677816835613666,decreasing,2.232749541944126,0.025565465418251724,increasing,-1.0,-1.0,-1.0,-1.0
payload_bytes_med,baseline,high,1.559641224152147,0.11884468888600656,increasing,1.2922741571546361,0.19626221826912127,increasing,-0.36,-0.3933333333333333,-0.4288888888888889,-0.3711111111111111
payload_bytes_med,baseline,low,-0.8232091273344415,0.41038907932291324,decreasing,1.0765042434373466,0.28170180412584866,increasing,-0.26,-0.26222222222222225,-0.34,-0.5533333333333333
payload_bytes_med,baseline,medium,0.86777030516736,0.38552008919943836,increasing,-0.49251828131120434,0.6223530015591523,decreasing,-0.6711111111111111,-0.7744444444444445,-0.6433333333333333,-0.6444444444444445
payload_bytes_med,filtered,high,-0.6848349435374841,0.4934480822339812,decreasing,1.5455692732575412,0.12220862676100197,increasing,-0.21777777777777776,-0.2777777777777778,-0.3622222222222222,-0.5955555555555555
payload_bytes_med,filtered,low,0.014071950894605837,0.9887725781840149,increasing,-0.18762601192807785,0.8511698337977822,decreasing,-0.88,-0.8844444444444445,-0.8311111111111111,-0.68
payload_bytes_med,filtered,medium,2.1483178365764912,0.03168851489080235,increasing,1.3743605373731702,0.16932978097198548,increasing,-0.9333333333333333,-0.8666666666666667,-1.0,-0.8
payload_bytes_med,partial,high,-0.15479145984066423,0.8769857241204888,decreasing,-0.4479571034782858,0.6541841553979566,decreasing,-0.6266666666666667,-0.82,-0.74,-0.4177777777777778
payload_bytes_med,partial,low,0.09146768081493795,0.9271209855323939,increasing,0.3893239747507615,0.6970365032933741,increasing,-0.8888888888888888,-1.0,-0.88,-1.0
payload_bytes_med,partial,medium,1.2195690775325059,0.22262827464931367,increasing,-0.47141035496929556,0.6373477227619637,decreasing,-0.9977777777777778,-0.9888888888888889,-0.9755555555555555,-1.0
xproc_p95,aggregate,high,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
xproc_p95,aggregate,low,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
xproc_p95,aggregate,medium,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
xproc_p95,baseline,high,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
xproc_p95,baseline,low,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
xproc_p95,baseline,medium,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
xproc_p95,filtered,high,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
xproc_p95,filtered,low,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
xproc_p95,filtered,medium,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
xproc_p95,partial,high,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
xproc_p95,partial,low,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
xproc_p95,partial,medium,12.664755805145253,9.270840348801151e-37,increasing,12.664755805145253,9.270840348801151e-37,increasing,-1.0,-1.0,-1.0,-1.0
