unix_ts,pid,cpu_percent,rss_mb
1781958345.660,33500,0.00,75.15
1781958346.661,33500,99.90,75.23
1781958347.661,33500,99.90,75.16
1781958348.662,33500,100.00,75.28
1781958349.662,33500,98.40,75.30
1781958350.663,33500,104.60,75.23
1781958351.663,33500,100.00,74.54
1781958352.663,33500,101.50,74.46
1781958353.664,33500,101.50,74.64
1781958354.664,33500,99.90,74.62
1781958355.665,33500,93.70,74.48
1781958356.665,33500,70.30,75.26
1781958357.666,33500,100.00,75.23
1781958358.667,33500,99.90,75.16
1781958359.667,33500,101.50,75.10
1781958360.668,33500,96.80,75.06
1781958361.669,33500,101.50,75.51
1781958362.669,33500,100.00,75.47
1781958363.672,33500,101.30,74.85
1781958364.672,33500,101.50,74.80
1781958365.673,33500,98.40,74.79
1781958366.674,33500,65.60,75.38
1781958367.674,33500,98.40,75.41
1781958368.675,33500,101.50,75.42
1781958369.675,33500,101.50,75.41
1781958370.676,33500,103.10,75.40
1781958371.676,33500,100.00,75.38
1781958372.677,33500,98.40,74.79
1781958373.677,33500,98.40,74.77
1781958374.678,33500,103.10,74.74
1781958375.678,33500,101.50,74.81
1781958376.678,33500,68.70,74.72
1781958377.678,33500,93.70,75.46
1781958378.679,33500,98.40,75.52
1781958379.680,33500,103.10,75.55
1781958380.680,33500,99.90,75.55
1781958381.681,33500,100.00,75.49
1781958382.681,33500,103.10,74.89
1781958383.682,33500,103.10,74.89
1781958384.682,33500,100.00,74.89
1781958385.683,33500,96.80,74.90
1781958386.683,33500,104.60,74.87
